Date,Message,Profile,Network,Like,comment,Shares,interaction rate,Message-ID,Profile-ID,Link
10/22/2025,"Gubernur Jawa Barat Dedi Mulyadi alias KDM mengungkap fakta soal sumber air minum dalam kemasan (AMDK) yang selama ini diyakini berasal dari mata air pegunungan. Melalui video sidak yang diunggah di kanal youtubenya pada Selasa (21/10/2025).

KDM menemukan bahwa air produksi salah satu perusahaan besar itu ternyata berasal dari air tanah dalam hasil pengeboran artesis sedalam lebih dari seratus meter.

Temuan ini memicu pertanyaan soal dampak eksploitasi air tanah terhadap lingkungan dan warga sekitar. Pasalnya, sejumlah penelitian menunjukkan penurunan muka air tanah di beberapa daerah industri air minum mencapai 1–3 meter per tahun.

Data 2023 mencatat, produsen terbesar AMDK di Indonesia, Danone-AQUA (sehataqua ), menggunakan 15.737,79 megaliter air tanah atau setara 43 ribu meter kubik per hari. Sebagian besar diambil dari akuifer vulkanik tua, cadangan air purba yang tidak mudah tergantikan.

Meski secara hukum tak melanggar, praktik ini menimbulkan kritik terkait keberlanjutan sumber daya air dan kejujuran label produk. Sebab, iklan dan kemasan air masih menggambarkan kesan “sumber pegunungan alami”, padahal prosesnya melibatkan pengeboran industri bertekanan tinggi di balik dinding pabrik. (Apr)",FAJAR.CO.ID,INSTAGRAM,93062,8861,101923,107.31%,1.80316E+16,2251720016,https://www.instagram.com/reel/DQGDH4jEV1a/
10/22/2025,"Inspeksi mendadak yang dilakukan oleh Gubernur Jawa Barat, Dedi Mulyadi ke pabrik Aqua di kawasan Subang, Jawa Barat, mengungkap sebuah fakta yang mengejutkan dari produk air mineral tersebut. 

Tidak berhenti di situ, Dedi Mulyadi kemudian meminta untuk ditunjukkan lokasi pengambilan sumber air pabrik Aqua tersebut.  Sambil berjalan menuju area belakang pabrik, ia menyoroti kondisi lingkungan sekitar yang dinilainya rawan longsor dan mengaitkannya dengan aktivitas industri. 

Rupanya, air diambil menggunakan teknologi sumur bor dengan kedalaman mencapai 100 hingga 130 meter.  Mendengar fakta itu, gubernur yang akrab disapa Kang Dedi Mulyadi ini sempat terdiam sejenak. 
 —— Source: YT/kangdedimulyadichannel 
Follow muslimvox for more info!

#Muslimvox #VoxOfMuslim",Muslimvox,INSTAGRAM,73650,8222,81872,3.53%,1.83771E+16,1549997496,https://www.instagram.com/p/DQG8rP8gfZR/
10/18/2025,SHINE AQUA ILLUSION ??????,Adam Ellis,INSTAGRAM,77386,222,77608,4.70%,1.82913E+16,19967130,https://www.instagram.com/p/DP95XWvkTjB/
10/1/2025,"You guys are always saying I don’t age (I do, but thank you lol ?? )… BUT I did want to let you in on a little skincare secret ?? ✨
I got to be one of the first to try the new belif Aqua Bomb Lifting Eye Gel before it launched and I’ve been OBSESSED. It’s perfect for lifting and firming all around my eyes and makes me look way more awake, even after long nights in the studio ?? belif has been a brand i trust & a staple in my routine forever so when they dropped a new eye gel, I knew it was gonna be good. 
Wanted to share how I’ve been using it in my everyday skincare routine, and a sneak peek of my new single too! ??
Get yours on Amazon and ultabeauty !! ??#belifpartner #belifEyeGel #koreanskincare #amazonfinds #ultabeauty #amazonfinds",Victoria Justice,INSTAGRAM,60296,1097,61393,0.25%,1.80667E+16,8326823,https://www.instagram.com/reel/DPRbze0ERKq/
10/24/2025,Bring the Hello Kitty x belif Aqua Bomb Eye Gel with you anywhere & everywhere with the supercute limited-edition HelloKitty keychain! ????,belif North America,INSTAGRAM,60695,45,60740,40.21%,1.80861E+16,1640147747,https://www.instagram.com/p/DQM_zTWki5e/
10/9/2025,"Mumbai’s long-awaited Metro Line-3 (Aqua Line)—the city’s first fully underground Metro corridor—will become fully operational from Thursday, with passenger services beginning on the entire 33.5-km stretch between Aarey JVLR and Cuffe Parade.

The first phase, between Aarey and Bandra-Kurla Complex (BKC), was inaugurated in October 2024, followed by the second phase, BKC to Acharya Atre Road, in May 2025. Wednesday’s inauguration marks the final leg, making the entire line operational.

Once opened, commuters will be able to travel between Aarey JVLR and Cuffe Parade within an hour, connecting key business hubs such as Bandra-Kurla Complex, Nariman Point, Fort, Lower Parel, and SEEPZ/MIDC. The corridor also provides seamless integration with CSMT, Churchgate, and Mumbai Central stations, linking the suburban, monorail and other Metro networks.

??: metrorailtoday etinfra 

#instantbollywood #mr #dl",Instant Bollywood,INSTAGRAM,49250,184,49434,0.14%,1.78875E+16,181436401,https://www.instagram.com/p/DPleNTVDV0G/
10/3/2025,"Estamos en las grandes ligas! Cumplí un sueño cantándole a todas las reinas en uno de los eventos más importantes del país, el Miss Universe! La dimos  toda con la fragancia PREMIUM ?? el nuevo Axe Aqua Citrus ??‍?? quedamos noti noti #Publicidad #HueleDeLujo #Axe",Altafulla,INSTAGRAM,40687,3262,43949,1.90%,1.80595E+16,1.78414E+16,https://www.instagram.com/reel/DPWtlm1EXdF/
10/9/2025,"It kills me to narrow down to only 20 pictures to share, so many stunning rings ?? 1. Elvindell three stone low profile with Starbrite sapphire and kite cut side stones 2. Artemisia with rhodolite garnet (coming soon to RTS) 3. Elvindell with parti Starbrite sapphire 4. Briar moon three stone with my curved filigree band 5. Custom one of a kind ring coming soon?? 6. Artemis with green lab diamond 7. Elvindell build your own pink lab diamond 8. Rowan no accents with oval lab diamond 9. Briar rose three stone with Starbrite sapphire 10. Briar moon three stone with curved moon band 11. Artemisia with teal lab diamond 12. Mythindil with orange red marquise lab diamond 13. Briar rose three stone with peach sapphire 14. Enchanted garden with lab diamond and pink sapphire 15. Briar rose three stone with lab green sapphire 16. Elvindell three stone bezel with lab diamond 17. Elvindell with round blue sapphire 18. Aurora moon with aquamarine and aqua diamond 19. Briar rose three stone 6x4mm lab diamond and peach sapphire 20. Olenna with Starbrite sapphire",Uma | Engagement Rings,INSTAGRAM,41194,198,41392,3.41%,1.7949E+16,54147151,https://www.instagram.com/p/DPmFLQHkTBo/
10/8/2025,"Prime Minister Narendra Modi will visit Maharashtra on 8–9 October, with major engagements in Navi Mumbai and Mumbai, including the inauguration of the Phase 1 of Navi Mumbai International Airport (NMIA), the final phase of Mumbai Metro Line-3, and the launch of the “Mumbai One” integrated mobility app. The visit underscores the government’s focus on modern infrastructure, urban mobility, and skill development in the state.

PM Modi will also inaugurate Phase 2B of Mumbai Metro Line-3, connecting Acharya Atre Chowk to Cuffe Parade at an estimated cost of ₹12,200 crore. With this, the entire Aqua Line, spanning 33.5 km with 27 stations, will be dedicated to the nation, serving around 13 lakh passengers daily. The fully underground metro will provide seamless access to South Mumbai’s heritage precincts, financial hubs, and key administrative offices, including the RBI, Bombay Stock Exchange, and Mantralaya.

??: hindustantimes theindianexpress 

#instantbollywood #mr #dl",Instant Bollywood,INSTAGRAM,40964,177,41141,0.12%,1.78661E+16,181436401,https://www.instagram.com/p/DPi6--WjUv1/
10/14/2025,"El negocio de vender agua es más rentable de lo que crees y con tu #MaquinaExpendedora de agua purificada Aqua Express no te preocupas por nada más que recibir las ganancias ????

20608490567 - GLAZER CORP PERU SAC

#vendingmachine #maquinasvending #emprendimiento",Glazer Perú,FACEBOOK,32137,3807,38470,10.61%,107220233998354_1287173710091364,1.0722E+14,https://www.facebook.com/reel/704737349320159/
